year,source_workbook,source_sheet,csv_sidecar,data_rows,columns_after_trailing_blank_trim,headers,sum_ons,sum_offs,sum_scheduled_trips,sum_observed_trips
2013,TransitStopsBoardingsAndAlightings2013.xlsx,Sheet1,data/metc_stop_boardings_alightings/csv/stop_boardings_alightings_2013.csv,40193,17,Provider | Route_Type | Route | Dir | Site_id | Name | Group_ID | Latitude | Longitude | XCoordinate | YCoordinate | City | Trips | Trips_Obs | Schedule | Ons | Offs,503947,506983,973659,944499
2014,TransitStopsBoardingsAndAlightings2014.xlsx,Data,data/metc_stop_boardings_alightings/csv/stop_boardings_alightings_2014.csv,39742,19,Provider | Route_Type | Route | Dir | site_id | Name | GroupId | Latitude | Longitude | XCoordinate | YCoordinate | City | Trips | ObsTrips | Schedule | Ons | Off | Seq | PctSampled,640605,467591,1.04072e+06,979999
2015,TransitStopsBoardingsAndAlightings2015.xlsx,Fall 2015 Stop Activity,data/metc_stop_boardings_alightings/csv/stop_boardings_alightings_2015.csv,40159,21,Provider | Route_Type | Route | Dir | site_id | StopName | GroupID | latitude | longitude | xcoordinate | ycoordinate | City | Trips | ObsTrips | Schedule | Ons | Offs | Seq | PctSampled | Downtown | Comment,647057,452900,1.04932e+06,1.01034e+06
2016,TransitStopsBoardingsAndAlightings2016.xlsx,Fall 2016 Stop Activity,data/metc_stop_boardings_alightings/csv/stop_boardings_alightings_2016.csv,40048,22,Provider | Route_Type | RouteClassification | Route | Dir | site_id | StopName | GroupID | latitude | longitude | xcoordinate | ycoordinate | City | Trips | ObsTrips | Schedule | Ons | off | Seq | PctSampled | Downtown | Comment,601732,421912,1.06099e+06,994664
2017,TransitStopsBoardingsAndAlightings2017.xlsx,Fall 2017 Stop Activity,data/metc_stop_boardings_alightings/csv/stop_boardings_alightings_2017.csv,40012,22,Provider | RouteType | RouteClassification | Route | Dir | Site_id | Geo_Node_Name | GroupID | latitude | longitude | xcoordinate | ycoordinate | City | Trips | ObsTrips | Schedule | Ons | Offs | Seq | PctSampled | Downtown | Comment,596914,407995,1.04974e+06,1.00591e+06
2018,TransitStopsBoardingsAndAlightings2018.xlsx,Fall 2018 Stop Activity,data/metc_stop_boardings_alightings/csv/stop_boardings_alightings_2018.csv,39935,22,Provider | Route Type | Route Classification | Route | Dir | Site_id | Geo_Node_Name | Group ID | latitude | longitude | x-coordinate | y-coordinate | City | Trips | Obs Trips | Schedule | Ons | Offs | Seq | %Sampled | Downtown | Comment,630614,410079,1.06406e+06,992043
